name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Yuan-Ti Scaleshield,missing,Easy,Instant,{2}{G},3.0,rare,hbg,2022-07-07,Seek,"Permanents you control gain hexproof and indestructible until end of turn.
Seek a creature card if an opponent has cast a spell with mana value 3 or less this turn.",
Zoyowa's Justice,missing,Easy,Instant,{1}{R},2.0,uncommon,lci,2023-11-17,Discover,"The owner of target artifact or creature with mana value 1 or greater shuffles it into their library. Then that player discovers X, where X is its mana value. (They exile cards from the top of their library until they exile a nonland card with that mana value or less. They cast it without paying its mana cost or put it into their hand. They put the rest on the bottom in a random order.)",
Visitor from Planet Q,missing,Easy,Instant Creature — Alien,{1}{U},2.0,rare,cmb1,2019-11-07,,"All creature cards you own with flash are instants in addition to their other types.
Whenever you cast another spell with two or more card types, you may draw a card, then discard a card.",
Lightning Colt,missing,Easy,Instant Creature — Horse,{3}{R}{R},5.0,rare,cmb1,2019-11-07,,"When Lightning Colt enters, it deals 3 damage to any target.",
Hymn to the Ages,missing,Easy,Instant — Chorus,{1}{U},2.0,mythic,ylci,2023-12-05,Intensity,"Starting intensity 1
Draw a number of cards equal to this spell's intensity.
All Chorus cards you own intensify by 1.",
Ribald Shanty,missing,Easy,Instant — Chorus,{R},1.0,uncommon,ylci,2023-12-05,Intensity,"Starting intensity 2
This spell deals damage equal to its intensity to target creature or planeswalker.
All Chorus cards you own intensify by 1.",
Accumulate Wisdom,missing,Easy,Instant — Lesson,{1}{U},2.0,uncommon,tla,2025-11-21,,Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. Put each of those cards into your hand instead if there are three or more Lesson cards in your graveyard.,
Airbending Lesson,missing,Easy,Instant — Lesson,{2}{W},3.0,common,tla,2025-11-21,Airbend,"Airbend target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Draw a card.",
Cycle of Renewal,missing,Easy,Instant — Lesson,{2}{G},3.0,common,tla,2025-11-21,,"Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",
Elemental Teachings,missing,Easy,Instant — Lesson,{4}{G},5.0,rare,ptla,2025-11-21,,"Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.",
Energybending,missing,Easy,Instant — Lesson,{2},2.0,uncommon,tla,2025-11-21,,"Lands you control gain all basic land types until end of turn.
Draw a card.",
Enter the Avatar State,missing,Easy,Instant — Lesson,{W},1.0,uncommon,tla,2025-11-21,"Lifelink, First strike","Until end of turn, target creature you control becomes an Avatar in addition to its other types and gains flying, first strike, lifelink, and hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)",
How to Start a Riot,missing,Easy,Instant — Lesson,{2}{R},3.0,common,tla,2025-11-21,,"Target creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Creatures target player controls get +2/+0 until end of turn.",
Lost Days,missing,Easy,Instant — Lesson,{4}{U},5.0,common,tla,2025-11-21,,"The owner of target creature or enchantment puts it into their library second from the top or on the bottom. You create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",
Octopus Form,missing,Easy,Instant — Lesson,{U},1.0,common,tla,2025-11-21,,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it. (It can't be the target of spells or abilities your opponents control.),
Overwhelming Victory,missing,Easy,Instant — Lesson,{4}{R},5.0,rare,tle,2025-11-21,,"Overwhelming Victory deals 5 damage to target creature. Each creature you control gains trample and gets +X/+0 until end of turn, where X is the amount of excess damage dealt this way.",
Redirect Lightning,missing,Easy,Instant — Lesson,{R},1.0,rare,tla,2025-11-21,,"As an additional cost to cast this spell, pay 5 life or pay {2}.
Change the target of target spell or ability with a single target.",
Sokka's Haiku,missing,Easy,Instant — Lesson,{3}{U}{U},5.0,uncommon,tla,2025-11-21,Mill,"Counter target spell.
Draw a card, then mill three cards.
Untap target land.",
Sokka's Sword Training,missing,Easy,Instant — Lesson,{1}{W},2.0,common,tle,2025-11-21,,"Target creature gets +2/+2 until end of turn.
Create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",
Waterbender's Restoration,missing,Easy,Instant — Lesson,{U}{U},2.0,rare,tle,2025-11-21,Waterbend,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Exile X target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.",
Whirlwind Technique,missing,Easy,Instant — Lesson,{4}{U}{U},6.0,uncommon,tle,2025-11-21,Airbend,"Target player draws two cards, then discards a card.
Airbend up to two target creatures. (To airbend a creature, exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)",
Yip Yip!,missing,Easy,Instant — Lesson,{W},1.0,common,tla,2025-11-21,,"Target creature you control gets +2/+2 until end of turn. If that creature is an Ally, it also gains flying until end of turn.",
Zuko's Exile,missing,Easy,Instant — Lesson,{5},5.0,common,tla,2025-11-21,,"Exile target artifact, creature, or enchantment. Its controller creates a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",
Preponderant Pearl,missing,Easy,Kindred Artifact — Merfolk,{U},1.0,uncommon,yecl,2026-02-03,Conjure,"When this artifact enters, conjure a card named Ponder into your hand.
Whenever one or more Merfolk you control deal combat damage to a player, sacrifice this artifact. If you do, conjure a card named Flooded Strand into your hand.",
Demonic Covenant,missing,Easy,Kindred Enchantment — Demon,{4}{B}{B},6.0,rare,dsc,2024-09-27,Mill,"Whenever one or more Demons you control attack a player, you draw a card and lose 1 life.
At the beginning of your end step, create a 5/5 black Demon creature token with flying, then mill two cards. If two cards that share all their card types were milled this way, sacrifice this enchantment.",
Dragon Typhoon,missing,Easy,Kindred Enchantment — Dragon,{4}{R}{R},6.0,rare,ytdm,2025-04-29,Channel,"Whenever you cast a Dragon or noncreature spell, draft a card from Dragon Typhoon's spellbook and put it onto the battlefield.
Channel — {2}{R}{R}, Discard this card: Create a 4/4 red Dragon creature token with flying.",
Craterous Stomp,missing,Easy,Kindred Instant — Giant,{1}{R},2.0,uncommon,yecl,2026-02-03,,"Craterous Stomp deals 3 damage to target creature an opponent controls. Each other creature that player controls becomes a Coward in addition to its other types and gains ""This creature can't block Giants or Warriors.""",
Elvish Elegy,missing,Easy,Kindred Sorcery — Elf,{B/G},1.0,uncommon,yecl,2026-02-03,Mill,"Mill three cards, then each creature card in your graveyard perpetually gets +1/+1. You may put an Elf or land card from among the milled cards into your hand.",
A-Base Camp,missing,Easy,Land,,0.0,uncommon,znr,2022-04-07,,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a Cleric, Rogue, Warrior, or Wizard spell or to activate an ability of a Cleric, Rogue, Warrior, or Wizard.",
A-Bretagard Stronghold,missing,Easy,Land,,0.0,uncommon,khm,2022-07-07,,"Bretagard Stronghold enters tapped.
{T}: Add {G}.
{G}{W}{W}, {T}, Sacrifice Bretagard Stronghold: Distribute two +1/+1 counters among one or two target creatures you control. They gain vigilance and lifelink until end of turn. Activate only as a sorcery.",
A-Dungeon Descent,missing,Easy,Land,,0.0,rare,afr,2022-01-27,Venture into the dungeon,"{T}: Add {C}.
{1}, {T}, Tap an untapped legendary creature you control: Venture into the dungeon. Activate only as a sorcery.",
A-Hall of Tagsin,missing,Easy,Land,,0.0,rare,bro,2024-01-12,,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
{3}, {T}: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",
A-Skemfar Elderhall,missing,Easy,Land,,0.0,uncommon,khm,2022-04-07,,"Skemfar Elderhall enters tapped.
{T}: Add {G}.
{1}{B}{B}{G}, {T}, Sacrifice Skemfar Elderhall: Up to one target creature you don't control gets -2/-2 until end of turn. Create two 1/1 green Elf Warrior creature tokens. Activate only as a sorcery.",
Abundant Countryside,missing,Easy,Land,,0.0,rare,ecc,2026-01-23,,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell.
{6}, {T}: Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)",
Aggressive Crag,missing,Easy,Land,,0.0,rare,cmb1,2019-11-07,,"At the beginning of your combat step, tap Aggressive Crag.
{T}: Add {R} or {W}.",
Agna Qel'a,missing,Easy,Land,,0.0,rare,tla,2025-11-21,,"This land enters tapped unless you control a basic land.
{T}: Add {U}.
{2}{U}, {T}: Draw a card, then discard a card.",
Airship Engine Room,missing,Easy,Land,,0.0,common,tla,2025-11-21,,"This land enters tapped.
{T}: Add {U} or {R}.
{4}, {T}, Sacrifice this land: Draw a card.",
Amonkhet Raceway,missing,Easy,Land,,0.0,uncommon,dft,2025-02-14,"Max speed, Start your engines!","Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
{T}: Add {C}.
Max speed — {T}: Target creature gains haste until end of turn.",
Archway of Innovation,missing,Easy,Land,,0.0,rare,mh3,2024-06-14,,"This land enters tapped unless you control an Island.
{T}: Add {U}.
{U}, {T}: The next spell you cast this turn has improvise. (Your artifacts can help cast that spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)",
Arena of Glory,missing,Easy,Land,,0.0,rare,mh3,2024-06-14,,"This land enters tapped unless you control a Mountain.
{T}: Add {R}.
{R}, {T}, Exert this land: Add {R}{R}. If that mana is spent on a creature spell, it gains haste until end of turn. (An exerted permanent won't untap during your next untap step.)",
Avishkar Raceway,missing,Easy,Land,,0.0,common,dft,2025-02-14,"Max speed, Start your engines!","Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
{T}: Add {C}.
Max speed — {3}, {T}, Discard a card: Draw a card.",
Boiling Rock Prison,missing,Easy,Land,,0.0,common,tla,2025-11-21,,"This land enters tapped.
{T}: Add {B} or {R}.
{4}, {T}, Sacrifice this land: Draw a card.",
Branch of Vitu-Ghazi,missing,Easy,Land,,0.0,uncommon,mkm,2024-02-09,Disguise,"{T}: Add {C}.
Disguise {3} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this land is turned face up, add two mana of any one color. Until end of turn, you don't lose this mana as steps and phases end.",
Brotherhood Headquarters,missing,Easy,Land,,0.0,uncommon,acr,2024-07-05,,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast an Assassin spell or a spell that has freerunning, or to activate an ability of an Assassin source.",
Command Mine,missing,Easy,Land,,0.0,common,unk,2023-09-23,,"{T}: Add one mana of any color in your commander's color identity. If you control a Command Tower and a Command Power Plant, add two mana of any color in your commander's color identity instead.",
Command Power Plant,missing,Easy,Land,,0.0,common,unk,2023-09-23,,"{T}: Add one mana of any color in your commander's color identity. If you control a Command Tower and a Command Mine, add two mana of any color in your commander's color identity instead.
Command Towers you control have, ""{T}: If you control a Command Mine and a Command Power Plant, add three mana of any color in your commander's color identity.""",
